現地コード,銘柄名(English),銘柄名,市場,業種,取扱
ARLZ,ARALEZ PHARMACEUTICALS INC,アラレズ・ファーマシューティカルズ,NASDAQ,バイオ,○
ARNA,"ARENA PHARMACEUTICALS, INC.",アリーナ・ファーマシューティカルズ,NASDAQ,バイオ,○
ARNC,ARCONIC INC,アルコニック,NYSE,鉄鋼・鉱業,○
ARRS,ARRIS INTERNATIONAL PLC,アリス・インターナショナル,NASDAQ,通信関連,○
ASH,ASHLAND INC,アシュランド,NYSE,化学,○
ASIX,AdvanSix Inc,アドバンシックス,NYSE,その他製造,○
ASML,ASML HOLDING,ASMLホールディング,NASDAQ,半導体関連,○
ASNA,ASCENA RETAIL GROUP INC,アシナ・リテール・グループ,NASDAQ,小売,○
ASV,ASV HOLDINGS,ASV ホールディングス,NASDAQ,その他製造,○
ATH,ATHENE HOLDING LTD,アテネ・ホールディング,NYSE,金融（保険）,○
ATHN,ATHENAHEALTH INC,アテナヘルス,NASDAQ,インターネットサービス,○
ATO,ATMOS ENERGY CORP,アトモス・エナジー,NYSE,石油・ガス・パイプライン,○
ATV,"ACORN INTERNATIONAL, INC.",エイコーン・インターナショナル,NYSE,小売,○
ATVI,ACTIVISION BLIZZARD INC,アクティビジョン・ブリザード,NASDAQ,ソフトウェア・ソフトウェアサービス,○
AU,ANGLOGOLD ASHANTI LIMITED,アングロゴールド・アシャンティ,NYSE,鉄鋼・鉱業,○
AUTO,AUTOWEB INC,オートウェブ,NASDAQ,インターネットサービス,○
AUY,YAMANA GOLD INC,ヤマナ・ゴールド,NYSE,鉄鋼・鉱業,○
AVAV,AEROVIRONMENT INC,エアロバイロメント,NASDAQ,航空機・宇宙,○
AVGO,BROADCOM INC.,ブロードコム,NASDAQ,半導体関連,○
AVY,AVERY DENNISON CORPORATION,エイブリィ・デニソン,NYSE,化学,○
AWI,ARMSTRONG WORLD INDUSTRIES,アームストロング・ワールド・インダストリーズ,NYSE,エンターテイメント・メディア,○
AWK,AMERICAN WATER WORKS CO INC,アメリカンウォーターワークス,NYSE,その他,○
AXP,AMERICAN EXPRESS COMPANY,アメリカン・エキスプレス,NYSE,金融（カード）,○
AXTA,AXALTA COATING SYSTEMS LTD.,アクサルタ・コーティング・システムズ,NYSE,化学,○
AZN,ASTRAZENECA PLC,アストラゼネカ,NYSE,医薬品,○
AZO,AUTOZONE INC,オートゾーン,NYSE,金融（保険）,○
AZPN,ASPEN TECHNOLOGY INC,アスペンテクノロジーインク,NASDAQ,ソフトウェア・ソフトウェアサービス,○
AZRE,AZURE PWR GLOBAL LTD,アジューレ・パワー・グローバル,NYSE,電機・電力・エネルギー,○
BA,THE BOEING COMPANY,ボーイング,NYSE,航空機・宇宙,○
BABA,ALIBABA GROUP HOLDING LTD.,アリババ・グループ・ホールディング,NYSE,小売,○
BAC,BANK OF AMERICA CORPORATION,バンク・オブ・アメリカ,NYSE,金融（銀行）,○
BAH,BOOZ ALLEN HAMIL,ブーズ・アレン・ハミルトン,NYSE,サービス,○
BALB,iPath Series B Bloomberg Cotton Subindex Total Return ETN,iPath シリーズB ブルームバーグ・コットン・サブ指数トータルリターンETN,NYSE Arca,その他,○
BAX,BAXTER INTERNATIONAL INC.,バクスター　インターナショナル,NYSE,医療機器,○
BB,BLACKBERRY LTD,ブラックベリー,NYSE,コンピュータ関連,○
BBBY,BED BATH & BEYOND INC.,ベッド・バス・アンド・ビヨンド,NASDAQ,小売,○
BBD,BANK BRADESCO,バンコ・ブラデスコ,NYSE,金融（銀行）,○
BBH,VanEck Vectors Biotech ETF,ヴァンエック・ベクトル・バイオテクETF,NASDAQ,その他,○
BBT,BB&T CORP,ＢＢ＆Ｔ,NYSE,金融（銀行）,○
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA,バンコ・ビルバオ・ビスカヤ・アルヘンタリア,NYSE,金融（銀行）,○
BBY,"BEST BUY CO., INC.",ベスト・バイ,NYSE,小売,○
BC,BRUNSWICK CORP,ブランズウィック・コープ,NYSE,その他製造,○
BCE,BCE INC.,ＢＣＥ,NYSE,通信関連,○
