現地コード,銘柄名(English),銘柄名,市場,業種,取扱
KOLD,PRSH ULSH NAT GS,PRSH ULSH NAT GS,NYSE Arca,--,-
KONA,KONA GRILL,KONA GRILL,NASDAQ,レストラン & バー,-
KONE,KINGTONE WIR DRC,KINGTONE WIR DRC,NASDAQ,ソフトウェア,-
KOOL,CESCA THRPEUTCS,CESCA THRPEUTCS,NASDAQ,医薬品,-
KOP,KOPPERS HOLDGS,KOPPERS HOLDGS,NYSE,化学 - 汎用化学製品,-
KOPN,KOPIN CORPORATION,コピン,NASDAQ,半導体関連,○
KOR,ADV SH KIM KOREA,ADV SH KIM KOREA,NYSE Arca,--,-
KORP,AMCN CNTRY BOND,AMCN CNTRY BOND,NYSE Arca,--,-
KORS,MICHAEL KORS HOLDINGS LTD,マイケル　コース,NYSE,小売,○
KORU,DXN SKOREA BL3X,DXN SKOREA BL3X,NYSE Arca,--,-
KOS,Kosmos Energy Ltd,コスモス・エナジー,NYSE,石油・ガス・パイプライン,○
KOSS,KOSS CORP,KOSS CORP,NASDAQ,家庭用電気製品,-
KPTI,KARYOPHARM THERP,KARYOPHARM THERP,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
KR,KROGER CO,クローガー,NYSE,小売,○
KRA,KRATON CORP,KRATON CORP,NYSE,化学 - 特殊化学製品,-
KRC,KILROY REALTY,KILROY REALTY,NYSE,商業 REIT,-
KRE,SPDR S&P RGL BK,SPDR S&P RGL BK,NYSE Arca,--,-
KREE,KREE,KREE,NASDAQ,--,-
KREF,KKR REAL EST FIN,KKR REAL EST FIN,NYSE,専門 REIT,-
KRG,KITE REALTY GROU,KITE REALTY GROU,NYSE,商業 REIT,-
KRMA,GLOBAL X CNSIOUS,GLOBAL X CNSIOUS,NASDAQ,--,-
KRNT,KORNIT DIGITAL,KORNIT DIGITAL,NASDAQ,商業印刷サービス,-
KRNY,KEARNY FINAN ORD,KEARNY FINAN ORD,NASDAQ,銀行,-
KRO,KRONOS WW INC,KRONOS WW INC,NYSE,化学 - 特殊化学製品,-
KRYS,KRYSTAL BIOTECH,KRYSTAL BIOTECH,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
KS,KAPSTONE P&P CRP,KAPSTONE P&P CRP,NYSE,包装紙,-
KSA,ISH MSCI SDI ARB,ISH MSCI SDI ARB,NYSE Arca,--,-
KSM,DSCH ST MNPL IN,DSCH ST MNPL IN,NYSE,クローズドエンド型投資信託,-
KSS,KOHL'S CORPORATION,コールズ,NYSE,小売,○
KST,DSCH STG INCM TR,DSCH STG INCM TR,NYSE,クローズドエンド型投資信託,-
KSU,KANSAS CITY SOUTHERN,カンザスシティー・サザン,NYSE,運輸,○
KT,KT CORPORATION,ＫＴ,NYSE,通信関連,○
KTCC,KEY TRONIC CP,KEY TRONIC CP,NASDAQ,コンピューター ハードウェア,-
KTF,DSCH MNP INCM TR,DSCH MNP INCM TR,NYSE,クローズドエンド型投資信託,-
KTOS,KRATOS DEFC &SEC,KRATOS DEFC &SEC,NASDAQ,航空宇宙 & 防衛,-
KTOV,KITOV PHARMA ADR,KITOV PHARMA ADR,NASDAQ,--,-
KTWO,K2M GROUP HLDNG,K2M GROUP HLDNG,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
KURA,KURA ONCOLOGY,KURA ONCOLOGY,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
KURE,KNSHS HTH CR IDX,KNSHS HTH CR IDX,NYSE Arca,--,-
KVHI,KVH INDS,KVH INDS,NASDAQ,通信機器 & ネットワーク,-
KW,KENEDY-WILSN HLD,KENEDY-WILSN HLD,NYSE,不動産サービス,-
KWEB,KRNSHR CSI CHINA,KRNSHR CSI CHINA,NYSE Arca,--,-
KWR,QUAKER CHEM,QUAKER CHEM,NYSE,化学 - 汎用化学製品,-
KXI,iShares Global Consumer Staples ETF,iシェアーズ グローバル生活必需品 ETF,NYSE Arca,その他,○
KYE,KAYNE ANDER FD,KAYNE ANDER FD,NYSE,クローズドエンド型投資信託,-
KYN,KAYNE AND MLP IN,KAYNE AND MLP IN,NYSE,クローズドエンド型投資信託,-
KZIA,KAZIA THERAPETCS,KAZIA THERAPETCS,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
KZR,KEZAR LF SCIENCS,KEZAR LF SCIENCS,NASDAQ,--,-
L,LOEWS CORPORATION,ロウズ,NYSE,金融（保険）,○
LABD,DIREXION DAILY S&P BIOTECH BEAR 3X SHARES,Direxion デイリー S&P バイオテック株 ベア3倍 ETF,NYSE Arca,その他,○
LABL,MULTI-COLOR CP,MULTI-COLOR CP,NASDAQ,商業印刷サービス,-
LABU,DIREXION DAILY S&P BIOTECH BULL 3X SHARES,Direxion デイリー S&P バイオテック株 ブル3倍 ETF,NYSE Arca,その他,○
LAC,LITHIUM AMER ORD,LITHIUM AMER ORD,NYSE,--,-
LACQ,LEISURE ACQSTN,LEISURE ACQSTN,NASDAQ,--,-
LAD,LITHIA MOTORS,LITHIA MOTORS,NYSE,小売 - 自動車、部品 & サービス,-
LADR,LADDER CPTL CRP,LADDER CPTL CRP,NYSE,専門 REIT,-
LAKE,LAKELAND INDS,LAKELAND INDS,NASDAQ,アパレル & アクセサリ,-
LALT,INVSC MS ALTRNTV,INVSC MS ALTRNTV,NASDAQ,--,-
LAMR,LAMAR ADVERT ORD,LAMAR ADVERT ORD,NASDAQ,専門 REIT,-
LANC,LANCASTER CLNY,LANCASTER CLNY,NASDAQ,食品加工,-
LAND,GLADSTN LND CORP,GLADSTN LND CORP,NASDAQ,専門 REIT,-
LARK,LANDMARK BANCP,LANDMARK BANCP,NASDAQ,銀行,-
LASR,NLIGHT INC,NLIGHT INC,NASDAQ,半導体,-
LAUR,"LAUREATE EDUCATION, INC.",ロレッテ・エデュケーション,NASDAQ,ソフトウェア・ソフトウェアサービス,○
LAWS,LAWSON PRODS,LAWSON PRODS,NASDAQ,産業機械 & 装置,-
LAZ,LAZARD,LAZARD,NYSE,投資銀行 & 証券サービス,-
LAZY,LAZYDAYS HOLDING,LAZYDAYS HOLDING,NASDAQ,小売 - 自動車、部品 & サービス,-
LB,"L BRANDS, INC.",Lブランズ,NYSE,小売,○
LBAI,LAKELAND BANCP,LAKELAND BANCP,NASDAQ,銀行,-
LBC,LUTHER BRBK CORP,LUTHER BRBK CORP,NASDAQ,銀行,-
LBIX,LEADING BRANDS,LEADING BRANDS,NASDAQ,非紙製容器 & 包装,-
LBJ,DXN LATAM BULL3X,DXN LATAM BULL3X,NYSE Arca,--,-
LBM,LBM,LBM,NYSE,--,-
LBRDA,LIBERTY BRDBND A,LIBERTY BRDBND A,NASDAQ,放送,-
LBRDK,LIBERTY BRDBND C,LIBERTY BRDBND C,NASDAQ,--,-
LBRT,LIBERTY OILF ORD,LIBERTY OILF ORD,NYSE,石油関連サービス & 装置,-
LBTYA,LIBERTY GLOBAL PLC CLASS A,リバティ ・グローバル　クラスA,NASDAQ,通信関連,○
LBTYB,LBRTY GBL PLC B,LBRTY GBL PLC B,NASDAQ,--,-
LBTYK,LBRTY GBL PLC C,LBRTY GBL PLC C,NASDAQ,--,-
LC,LENDINGCLUB CORP,レンディングクラブ,NYSE,金融（その他）,○
LCA,LANDCADIA HLDN A,LANDCADIA HLDN A,NASDAQ,--,-
LCI,LANNETT COMPANY,LANNETT COMPANY,NYSE,医薬品,-
LCII,LCI INDUSTRIES,LCI INDUSTRIES,NYSE,レクリエーショナル製品,-
LCM,ADV/CLY ENH,ADV/CLY ENH,NYSE,クローズドエンド型投資信託,-
LCNB,LCNB CORP CS,LCNB CORP CS,NASDAQ,銀行,-
LCUT,LIFETIME BRANDS,LIFETIME BRANDS,NASDAQ,電気機器 / 工具 & 家庭用品,-
LDF,LATIN AMERICAN,LATIN AMERICAN,NYSE,クローズドエンド型投資信託,-
LDL,LYDALL INC,LYDALL INC,NYSE,産業機械 & 装置,-
LDOS,"LEIDOS HOLDINGS, INC.",レイドス・ホールディングス,NYSE,情報処理サービス,○
LDP,COHEN &STERS LTD,COHEN &STERS LTD,NYSE,クローズドエンド型投資信託,-
LDRI,INVS LDRT 0-5 CP,INVS LDRT 0-5 CP,NASDAQ,--,-
LDRS,INNOVATR IBD LDR,INNOVATR IBD LDR,NYSE Arca,--,-
LDUR,PMCO ENCD LW DTN,PMCO ENCD LW DTN,NYSE Arca,--,-
LE,LANDS' END INC,ランズ　エンド,NASDAQ,小売,○
LEA,LEAR CORPORATION,リア,NYSE,その他製造,○
LECO,LINCOLN ELECTRIC HOLDINGS,リンカーン・エレクトリック・ホールディングズ,NASDAQ,その他製造,○
LEDS,SEMI LEDS CORP,SEMI LEDS CORP,NASDAQ,半導体,-
LEE,LEE ENTERPRISES,LEE ENTERPRISES,NYSE,一般向け出版,-
LEG,LEGGETT & PLATT INC,レゲットアンドプラット,NYSE,その他製造,○
LEGR,FRST IDX TRNSCTN,FRST IDX TRNSCTN,NASDAQ,--,-
LEJU,LEJU HLD LTD ADR,LEJU HLD LTD ADR,NYSE,不動産サービス,-
LEMB,i Shares J.P. Morgan EM Local Currency Bond ETF,iシェアーズ J.P.モルガン・現地通貨建てエマージング・マーケット債券 ETF,NYSE Arca,その他,○
LEN,LENNAR CORP-A,レナー,NYSE,その他,○
LEN.B,LENNAR CORP B,レナー クラスB,NYSE,その他,-
LENS,PRESBIA PLC,PRESBIA PLC,NASDAQ,先端医療機器 & テクノロジー,-
LEO,DREYFUS STRAT,DREYFUS STRAT,NYSE,クローズドエンド型投資信託,-
LEVL,LEVEL ONE BANCRP,LEVEL ONE BANCRP,NASDAQ,銀行,-
LEXEA,LIBERTY EXPDIA A,LIBERTY EXPDIA A,NASDAQ,インターネットサービス,-
LEXEB,LIBERTY EXPDIA B,LIBERTY EXPDIA B,NASDAQ,--,-
LFC,CHINA LIFE-ADR,中国人寿保険　［チャイナ・ライフ・インシュアランス］,NYSE,金融（保険）,○
LFEQ,VANECK VCTRS ETF,VANECK VCTRS ETF,NYSE Arca,--,-
LFGR,LEAF GROUP LTD,リーフ・グループ,NYSE,エンターテイメント・メディア,○
LFUS,LITTELFUSE,LITTELFUSE,NASDAQ,電気部品 & 装置,-
LFVN,LIFEVANTAGE CORP,LIFEVANTAGE CORP,NASDAQ,医薬品,-
LGC,LEGACY ACQUISITN,LEGACY ACQUISITN,NYSE,--,-
LGF.A,LIONS GTE ENT A,ライオンズ・ゲート・エンターテインメント　クラスA,NYSE,エンターテイメント・メディア,-
LGF.B,LIONS GTE ENT B,ライオンズ・ゲート・エンターテインメント　クラスB,NYSE,エンターテイメント・メディア,-
LGI,LAZ GL TTL RT IN,LAZ GL TTL RT IN,NYSE,クローズドエンド型投資信託,-
LGIH,LGI HOMES INC,LGI HOMES INC,NASDAQ,住宅建設,-
LGLV,SPDR SSGA US LC,SPDR SSGA US LC,NYSE Arca,--,-
LGND,LIGAND PHARMA,LIGAND PHARMA,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
LH,LABORATORY  CRP OF AMERICA HLDG,ラボラトリー・コープ・オブ・アメリカ・ホールディングス,NYSE,医療・医療サービス,○
LHC,LEO HOLDINGS CRP,LEO HOLDINGS CRP,NYSE,--,-
LHCG,LHC GROUP,LHC GROUP,NASDAQ,ヘルスケア施設 & サービス,-
LHO,LASALLE HOTEL,LASALLE HOTEL,NYSE,専門 REIT,-
LIFE,ATYR PHARMA,ATYR PHARMA,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
LII,LENNOX INTL INC,LENNOX INTL INC,NYSE,電気部品 & 装置,-
LILA,LIBERTY LATIN AMERICA LTC,リバティ・ラテン・アメリカ,NASDAQ,通信関連,○
LILAK,LBRTY LTN AMRC C,LBRTY LTN AMRC C,NASDAQ,--,-
LINC,LINCOLN EDU SRVS,LINCOLN EDU SRVS,NASDAQ,パーソナル サービス,-
LIND,LINDBLAD EXP ORD,LINDBLAD EXP ORD,NASDAQ,持株会社,-
LINK,INTERLINK ELCTRC,INTERLINK ELCTRC,NASDAQ,電子機器装置 & 部品,-
LION,FIDELITY SOUTHRN,FIDELITY SOUTHRN,NASDAQ,銀行,-
LIT,GB X LTHM & BTRY,GB X LTHM & BTRY,NYSE Arca,--,-
LITB,LGHTNTBX HLD ADR,LGHTNTBX HLD ADR,NYSE,小売 - 百貨店,-
LITE,LUMENTUM HOLDINGS INC,ルメンタム・ホールディングス,NASDAQ,その他製造,○
LIVE,LIVE VENTURE INC,LIVE VENTURE INC,NASDAQ,インターネットサービス,-
LIVN,LIVANOVA PLC,リワノワ,NASDAQ,医療機器,○
LIVX,LIVEXLIVE MEDIA,LIVEXLIVE MEDIA,NASDAQ,エンターテイメント制作,-
LJPC,LA JOLLA PHARMAC,LA JOLLA PHARMAC,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
LKFN,LAKELAND FINL,LAKELAND FINL,NASDAQ,銀行,-
LKM,LINK MOTION INC,LINK MOTION INC,NYSE,無線通信サービス,-
LKOR,FLEXSHARES CRDT,FLEXSHARES CRDT,NASDAQ,--,-
LKQ,LKQ CORP,ＬＫＱ,NASDAQ,金融（保険）,○
LKSD,LSC COMMUNICTNS,LSC COMMUNICTNS,NYSE,商業印刷サービス,-
LL,LUMBER LIQUIDATR,LUMBER LIQUIDATR,NYSE,小売 - ホームセンター & サービス,-
LLIT,LIANLUO SMART,LIANLUO SMART,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
LLL,L-3 COMM HLDGS,Ｌ３コミュニケーションズ・ホールディングズ,NYSE,航空機・宇宙,○
LLNW,LIMELIGHT NETWRK,LIMELIGHT NETWRK,NASDAQ,IT サービス & コンサルティング,-
LLY,ELI LILLY AND COMPANY,イーライリリー,NYSE,医薬品,○
LM,LEGG MASON,LEGG MASON,NYSE,投資管理 & ファンド オペレーター,-
LMAT,LEMAITRE VASCULR,LEMAITRE VASCULR,NASDAQ,先端医療機器 & テクノロジー,-
LMB,LIMBACH HLDNGS,LIMBACH HLDNGS,NASDAQ,土木 & 建設業,-
LMBS,FRST TST OPT ETF,FRST TST OPT ETF,NASDAQ,--,-
LMFA,LM FUNDING A ORD,LM FUNDING A ORD,NASDAQ,企業金融サービス,-
LMNR,LIMONEIRA CO,LIMONEIRA CO,NASDAQ,漁業 & 農業,-
LMNX,Luminex Corporation ,ルミネックス,NASDAQ,医療機器,○
LMST,LIMESTONE BANCRP,LIMESTONE BANCRP,NASDAQ,銀行,-
LMT,LOCKHEED MARTIN CORPORATION,ロッキード・マーチン,NYSE,航空機・宇宙,○
LN,LINE CORPORATION,LINE,NYSE,通信関連,○
LNC,LINCOLN NATIONAL CORPORATION,リンカーン・ナショナル,NYSE,金融（保険）,○
LND,BRASILAGRO ADR,BRASILAGRO ADR,NYSE,--,-
LNDC,LANDEC CORP,LANDEC CORP,NASDAQ,食品加工,-
LNGR,GLOBAL X LONGVTY,GLOBAL X LONGVTY,NASDAQ,--,-
LNN,LINDSAY CORP,LINDSAY CORP,NYSE,重機,-
LNT,ALLIANT ENERGY CORP,アライアント・エナジー,NYSE,電機・電力・エネルギー,○
LNTH,LANTHEUS HOL ORD,LANTHEUS HOL ORD,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
LOAN,MANHATTAN BRIDGE,MANHATTAN BRIDGE,NASDAQ,専門 REIT,-
LOB,LIVE OAK BANSHAS,LIVE OAK BANSHAS,NASDAQ,銀行,-
LOCO,EL POLLO LOCO,EL POLLO LOCO,NASDAQ,レストラン & バー,-
LOGI,LOGITECH INTL,LOGITECH INTL,NASDAQ,コンピューター ハードウェア,-
LOGM,Logmeln Inc,ログミーイン,NASDAQ,ネットワーク・ネットワークセキュリティ,○
LOMA,LOMA NGR ARG SCD,LOMA NGR ARG SCD,NYSE,--,-
LONE,LONESTAR RESRCES,LONESTAR RESRCES,NASDAQ,石油 & ガス探査 / 生産,-
LOOP,LOOP INDUSTRIES,LOOP INDUSTRIES,NASDAQ,総合通信サービス,-
LOPE,GRAND CANYON EDU,GRAND CANYON EDU,NASDAQ,パーソナル サービス,-
LOR,LAZARD WRLD DIV,LAZARD WRLD DIV,NYSE,クローズドエンド型投資信託,-
LORL,LORAL SPACE COMM,LORAL SPACE COMM,NASDAQ,通信機器 & ネットワーク,-
LOVE,THE LOVESAC CO,THE LOVESAC CO,NASDAQ,--,-
LOW,LOWE'S COS INC,ロウズ・カンパニーズ,NYSE,小売,○
LOWC,SPDR MSCI ACWI,SPDR MSCI ACWI,NYSE Arca,--,-
LOXO,LOXO ONGY INC,LOXO ONGY INC,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
LPCN,LIPOCINE INC,LIPOCINE INC,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
LPG,DORIAN LPG LTD,DORIAN LPG LTD,NYSE,石油 & ガス運輸サービス,-
LPI,LAREDO PETROLEUM,LAREDO PETROLEUM,NYSE,石油 & ガス探査 / 生産,-
LPL,LG DISPLAY-ADR,ＬＧディスプレイ,NYSE,その他製造,○
LPLA,LPL FINANCIAL HOLDINGS INC,ＬＰＬインベストメント・ホールディングス,NASDAQ,ソフトウェア・ソフトウェアサービス,○
LPNT,LIFEPOINT HEALTH,LIFEPOINT HEALTH,NASDAQ,ヘルスケア施設 & サービス,-
LPSN,LIVEPERSON INC,LIVEPERSON INC,NASDAQ,IT サービス & コンサルティング,-
LPT,LIBERTY PROPERTY,LIBERTY PROPERTY,NYSE,商業 REIT,-
LPTH,LIGHTPTH TECH A,LIGHTPTH TECH A,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
LPTX,LEAP THERAPEUTCS,LEAP THERAPEUTCS,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
LPX,LOUISIANA PACIF,LOUISIANA PACIF,NYSE,林産品 & 木材製品,-
LQD, iShares iBoxx $ Investment Grade Corporate Bond ETF,iシェアーズ iBoxx 米ドル建て投資適格社債 ETF,NYSE Arca,その他,○
LQDH,ISH IRH CORPB,ISH IRH CORPB,NYSE Arca,--,-
LQDT,LIQUIDITY SERVICES INC,リクイディティ・サービシズ,NASDAQ,サービス,○
LRAD,LRAD CORPRATION,LRAD CORPRATION,NASDAQ,通信機器 & ネットワーク,-
LRCX,LAM RESEARCH CORPORATION,ラムリサーチ,NASDAQ,半導体関連,○
LRGE,CLEARBRDG LC ETF,CLEARBRDG LC ETF,NASDAQ,--,-
LRGF,ISH EDGE MUL USA,ISH EDGE MUL USA,NYSE Arca,--,-
LRN,K12 INC,K12 INC,NYSE,パーソナル サービス,-
LSBK,LAKE SHORE BNCOP,LAKE SHORE BNCOP,NASDAQ,銀行,-
LSCC,LATTICE SEMICONDUCTOR CORPORATION,ラティス・セミコンダクター,NASDAQ,半導体関連,○
LSI,LIFE STORAGE INC,LIFE STORAGE INC,NYSE,専門 REIT,-
LSI,LIFE STORAGE INC,LIFE STORAGE INC,NYSE,半導体,-
LSST,NTXS LMS SYLS ST,NTXS LMS SYLS ST,NYSE Arca,--,-
LSTR,LANDSTAR SYSTEM INC,ランドスター・システム,NASDAQ,運輸,○
LSXMA,LMC SRS A LIBRTY,LMC SRS A LIBRTY,NASDAQ,放送,-
LSXMB,LMC SRS B LIBRTY,LMC SRS B LIBRTY,NASDAQ,--,-
LSXMK,LMC SRS C LIBRTY,LMC SRS C LIBRTY,NASDAQ,--,-
LTBR,LIGHTBRIDGE CORP,LIGHTBRIDGE CORP,NASDAQ,事業サポート サービス,-
LTC,LTC PROPERTIES,LTC PROPERTIES,NYSE,専門 REIT,-
LTL,PRSH ULTRA TELCM,PRSH ULTRA TELCM,NYSE Arca,--,-
LTM,LATAM AIRLNS GRP,LATAM AIRLNS GRP,NYSE,空運業,-
LTN,UNION ACQUISITN,UNION ACQUISITN,NYSE,--,-
LTPZ,PIMCO 15YR US TP,PIMCO 15YR US TP,NYSE Arca,--,-
LTRPA,LIBERTY TRIPADVS,LIBERTY TRIPADVS,NASDAQ,インターネットサービス,-
LTRPB,LIBERTY TRPADV B,LIBERTY TRPADV B,NASDAQ,--,-
LTRX,LANTRONIX INC,LANTRONIX INC,NASDAQ,通信機器 & ネットワーク,-
LTXB,LEGACYTEXAS ORD,LEGACYTEXAS ORD,NASDAQ,銀行,-
LUB,LUBYS INC,LUBYS INC,NYSE,レストラン & バー,-
LULU,LULULEMON ATHLETICA INC,ルルレモン・アスレティカ,NASDAQ,小売,○
LUNA,LUNA INNOVATIONS,LUNA INNOVATIONS,NASDAQ,先端医療機器 & テクノロジー,-
LUV,SOUTHWEST AIRLINES CO.,サウスウエスト・エアライン,NYSE,航空,○
LVHD,LEG MSON INV DVD,LEG MSON INV DVD,NASDAQ,--,-
LVL,INVS S&P GB OPRT,INVS S&P GB OPRT,NYSE Arca,--,-
LVS,LAS VEGAS SANDS CORP.,ラスベガス・サンズ,NYSE,ホテル・モーテル,○
LW,LAMB WESTON HOLDINGS,ラム・ウェストン・ホールディングス,NYSE,食品・飲料,○
LWAY,LIFEWAY FOOD,LIFEWAY FOOD,NASDAQ,食品加工,-
LX,LEXINFINTECH HLD,LEXINFINTECH HLD,NASDAQ,消費者金融サービス,-
LXFR,LUXFER HOLDG PLC,LUXFER HOLDG PLC,NYSE,採鉱 & 金属 - 特殊 ,-
LXFT,LUXOFT HOLDING,LUXOFT HOLDING,NYSE,ソフトウェア,-
LXP,LEXINGTON REALTY,LEXINGTON REALTY,NYSE,商業 REIT,-
LXRX,"LEXICON PHARMACEUTICALS, INC.",レキシコン・ファーマシューティカルズ,NASDAQ,バイオ,○
LXU,LSB INDUSTRIES,LSB INDUSTRIES,NYSE,化学 - 農薬,-
LYB,LYONDELLBASEL A,LYONDELLBASEL A,NYSE,化学 - 汎用化学製品,-
LYG,LLOYDS BANKING GROUP PLC,ロイズ・バンキング・グループ,NYSE,金融（銀行）,○
LYL,DRGN VCTRY INTL,DRGN VCTRY INTL,NASDAQ,企業金融サービス,-
LYTS,LSI INDS,LSI INDS,NASDAQ,建設業 - 資材 & 設備,-
LYV,LIVE NATION ENTERTAINMENT,ライブ・ネーション・エンターテインメント,NYSE,エンターテイメント・メディア,○
LZB,LA-Z-BOY INC,LA-Z-BOY INC,NYSE,家具 / 装飾,-
M,MACY'S INC,メーシーズ,NYSE,小売,○
MA,MASTERCARD INCORPORATED,マスターカード,NYSE,金融（カード）,○
MAA,MID AM APT COMM,MID AM APT COMM,NYSE,住宅 REIT,-
MAC,MACERICH,MACERICH,NYSE,商業 REIT,-
MACK,MERRIMACK PHARMA,MERRIMACK PHARMA,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
MACQ,M I ACQUISITIONS,M I ACQUISITIONS,NASDAQ,--,-
MAGS,MAGAL SECURITY SYSTEMS,マガール・セキュリティ・システムズ,NASDAQ,ネットワーク・ネットワークセキュリティ,○
MAIN,MAIN STREET CAP,MAIN STREET CAP,NYSE,企業金融サービス,-
MAMS,MAM SOFTWARE GRO,MAM SOFTWARE GRO,NASDAQ,ソフトウェア,-
MAN,MANPOWER GROUP,MANPOWER GROUP,NYSE,雇用サービス,-
MANH,MANHATTAN ASSOC,MANHATTAN ASSOC,NASDAQ,IT サービス & コンサルティング,-
MANT,MANTECH INTL,MANTECH INTL,NASDAQ,IT サービス & コンサルティング,-
MANU,MANCHESTER UNITED LTD,マンチェスター・ユナイテッド,NYSE,エンターテイメント・メディア,○
MAR,"MARRIOTT INTERNATIONAL, INC.",マリオット・インターナショナル,NASDAQ,ホテル・モーテル,○
MARA,MARATHON PATENT,MARATHON PATENT,NASDAQ,環境サービス & 装置,-
MARK,REMARK HOLDG INC,REMARK HOLDG INC,NASDAQ,専門情報サービス,-
MAS,MASCO CORP,マスコ・コーポレーション,NYSE,サービス,○
MASI,MASIMO CORP,MASIMO CORP,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
MAT,"MATTEL, INC.",マテル,NASDAQ,エンターテイメント・メディア,○
MATR,MATERSIGHT CORP,MATERSIGHT CORP,NASDAQ,広告 & マーケティング,-
MATW,MATTHEWS INTL A,MATTHEWS INTL A,NASDAQ,トイレタリー用品,-
MATX,MATSON INC,マットソン,NYSE,インターネットサービス,○
MAV,PNR MUN HG INC,PNR MUN HG INC,NYSE,クローズドエンド型投資信託,-
MAXR,MAXAR TCHNLG ORD,MAXAR TCHNLG ORD,NYSE,--,-
MAYS,J W MAYS INC,J W MAYS INC,NASDAQ,不動産開発 & 運用,-
MB,MINDBODY INC ORD,MINDBODY INC ORD,NASDAQ,ソフトウェア,-
MBB,iShares BARCLAYS MBS BOND FUND,iシェアーズ 米国 MBS ETF,NASDAQ,その他,○
MBCN,MIDDLEFIELD BANC,MIDDLEFIELD BANC,NASDAQ,銀行,-
MBFI,MB FINANCIAL INC,ＭＢファイナンシャル,NASDAQ,金融（銀行）,○
MBG,SPD BG BCY MB BD,SPD BG BCY MB BD,NYSE Arca,--,-
MBI,MBIA INC,MBIA INC,NYSE,保険 - 損害 & 災害,-
MBII,MARRON BIO INNOV,MARRON BIO INNOV,NASDAQ,化学 - 農薬,-
MBIN,MERCHANT BANCORP,MERCHANT BANCORP,NASDAQ,銀行,-
MBIO,MUSTANG BIO ORD,MUSTANG BIO ORD,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
MBOT,MICROBOT MEDICAL,MICROBOT MEDICAL,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
MBRX,MOLECULIN BIOTCH,MOLECULIN BIOTCH,NASDAQ,医薬品,-
MBSD,FLX DISP DUR,FLX DISP DUR,NASDAQ,--,-
MBT,MOBILE TELESYSTEMS OJSC,モバイル・テレシステムズ,NYSE,通信関連,○
MBTF,MBT FINANCIAL,MBT FINANCIAL,NASDAQ,銀行,-
MBUU,MALIBU BOATS INC,MALIBU BOATS INC,NASDAQ,レクリエーショナル製品,-
MBVC,MBVC,MBVC,NASDAQ,--,-
MBVX,MABVAX THERAPTCS,MABVAX THERAPTCS,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
MBWM,MERCANTILE BANK,MERCANTILE BANK,NASDAQ,銀行,-
MC,MOELIS & COMPANY,MOELIS & COMPANY,NYSE,投資銀行 & 証券サービス,-
MCA,BLKRK CALFRN QF,BLKRK CALFRN QF,NYSE,クローズドエンド型投資信託,-
MCB,METRPLTN BNK HLD,METRPLTN BNK HLD,NYSE,銀行,-
MCBC,MACATAWA BANK,MACATAWA BANK,NASDAQ,銀行,-
MCC,MEDLEY CAPITAL,MEDLEY CAPITAL,NYSE,クローズドエンド型投資信託,-
MCD,MCDONALD'S CORPORATION,マクドナルド,NYSE,外食・レストラン,○
MCEF,FRST MUN CEF INC,FRST MUN CEF INC,NASDAQ,--,-
MCFT,MCBC HOLDING INC,MCBC HOLDING INC,NASDAQ,レクリエーショナル製品,-
MCHI,ISHARES MSCI CHN,ISHARES MSCI CHN,NASDAQ,--,-
MCHP,MICROCHIP TECHNOLOGY INC,マイクロチップ・テクノロジー,NASDAQ,半導体関連,○
MCHX,MARCHEX,MARCHEX,NASDAQ,広告 & マーケティング,-
MCI,BARINGS CORP INV,BARINGS CORP INV,NYSE,クローズドエンド型投資信託,-
MCK,MCKESSON CORP,マケッソン,NYSE,トイレタリー・ヘルスケア,○
MCN,MADISON COVERED,MADISON COVERED,NYSE,クローズドエンド型投資信託,-
MCO,MOODY'S CORPORATION,ムーディーズ,NYSE,金融（その他）,○
MCR,MFS CHARTER INCM,MFS CHARTER INCM,NYSE,クローズドエンド型投資信託,-
MCRB,SERES THERAP ORD,SERES THERAP ORD,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
MCRI,MONARCH CASINO,MONARCH CASINO,NASDAQ,カジノ & ゲーム,-
MCRN,MILACRN HLD CRP,MILACRN HLD CRP,NYSE,産業機械 & 装置,-
MCRO,IQ HDGE MCR ETF,IQ HDGE MCR ETF,NYSE Arca,--,-
