現地コード,銘柄名(English),銘柄名,市場,業種,取扱
DVD,DOVER MOTORSPRT,DOVER MOTORSPRT,NYSE,レジャー & レクリエーション,-
DVMT,DELL TECH INC,DELL TECH INC,NYSE,コンピューター ハードウェア,-
DVN,DEVON ENERGY CO,デボン・エナジー,NYSE,石油・ガス・パイプライン,○
DVP,DEEP VALUE ECL,DEEP VALUE ECL,NYSE Arca,--,-
DVY,iShares Select Dividend ETF,iシェアーズ 好配当株式 ETF,NASDAQ,その他,○
DVYA,ISH APAC DIVIDND,ISH APAC DIVIDND,NYSE Arca,--,-
DVYE,ISH EM MKT DIVND,ISH EM MKT DIVND,NYSE Arca,--,-
DWAQ,INVS DWA NAS MNT,INVS DWA NAS MNT,NASDAQ,投資信託,-
DWAS,INVS II DWA SLCP,INVS II DWA SLCP,NASDAQ,--,-
DWAT,ARROW INVEST ETF,ARROW INVEST ETF,NASDAQ,--,-
DWCH,DATAWATCH CORP,DATAWATCH CORP,NASDAQ,ソフトウェア,-
DWCR,ARW DWA CNTRY RN,ARW DWA CNTRY RN,NASDAQ,--,-
DWDP,DOW DUPONT,ダウ・デュポン,NYSE,化学,○
DWFI,SPDR DORSEY WRHT,SPDR DORSEY WRHT,NASDAQ,--,-
DWIN,INVSC II MA INCM,INVSC II MA INCM,NASDAQ,--,-
DWLD,DAVIS SLC WRLDWD,DAVIS SLC WRLDWD,NASDAQ,--,-
DWLV,INVSC II MNTM LV,INVSC II MNTM LV,NASDAQ,--,-
DWM,WT DEFA,WT DEFA,NYSE Arca,--,-
DWPP,FIRST TRST DORSY,FIRST TRST DORSY,NASDAQ,--,-
DWSN,DAWSON GEOPHYS,DAWSON GEOPHYS,NASDAQ,石油関連サービス & 装置,-
DWTR,INVS II SCTR RTN,INVS II SCTR RTN,NASDAQ,--,-
DWX,SPDR S&P INTL DV,SPDR S&P INTL DV,NYSE Arca,--,-
DX,DYNEX CAPITAL,DYNEX CAPITAL,NYSE,専門 REIT,-
DXC,DXC Technology,DXCテクノロジー,NYSE,情報処理サービス,○
DXCM,DEXCOM,DEXCOM,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
DXD,PRSH ULTSH DJ30,PRSH ULTSH DJ30,NYSE Arca,--,-
DXGE,WT GER HDG EQTY,WT GER HDG EQTY,NASDAQ,--,-
DXJ,WisdomTree Japan Hedged Equity Fund,ウィズダムツリー  日本株米ドルヘッジ付ファンド,NYSE Arca,その他,○
DXJF,WisdomTree Japan Hedged Financials Fund,ウィズダムツリー  日本株金融セクター米ドルヘッジ付ファンド,NYSE Arca,その他,○
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,ウィズダムツリー  日本小型株米ドルヘッジ付ファンド,NASDAQ,その他,○
DXLG,DESTINATN XL GRP,DESTINATN XL GRP,NASDAQ,小売 - アパレル & アクセサリ,-
DXPE,DXP ENTERPRISES,DXP ENTERPRISES,NASDAQ,産業機械 & 装置,-
DXYN,DIXIE GROUP,DIXIE GROUP,NASDAQ,家具 / 装飾,-
DY,DYCOM INDS,DYCOM INDS,NYSE,土木 & 建設業,-
DYNT,DYNATRONICS CORP,DYNATRONICS CORP,NASDAQ,先端医療機器 & テクノロジー,-
DYSL,DYNASIL CORP,DYNASIL CORP,NASDAQ,医療機器 / 医療用品 & ディストリビューター,-
DZK,DXN DEV BULL 3X,DXN DEV BULL 3X,NYSE Arca,--,-
DZSI,DASAN ZHNE SLTNS,DASAN ZHNE SLTNS,NASDAQ,電話 & 携帯端末機器,-
E,ENI SPA,ENI SPA,NYSE,石油 & ガス総合,-
EA,ELECTRONIC ARTS INC.,エレクトロニック・アーツ,NASDAQ,通信関連,○
EACQ,ESTERLY ACQ CORP,ESTERLY ACQ CORP,NASDAQ,持株会社,-
EAF,GRAFTEC INTR LTD,GRAFTEC INTR LTD,NYSE,採鉱 & 金属 - 特殊 ,-
EAGL,PLTNM EAGLE CP A,PLTNM EAGLE CP A,NASDAQ,--,-
EARN,ELINGTN RESL MTG,ELINGTN RESL MTG,NYSE,専門 REIT,-
EARS,AURIS MDL HLD,AURIS MDL HLD,NASDAQ,バイオテクノロジー & メディカル リサーチ,-
EASI,AMPLFY ESI TCTCL,AMPLFY ESI TCTCL,NYSE Arca,--,-
